,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
61,Lichtenberg,52.514556884785996,13.498307228022098,Athos,52.51276969829372,13.500908139579167,Greek Restaurant
62,Lichtenberg,52.514556884785996,13.498307228022098,Zeitenträumer,52.513945,13.499845,Breakfast Spot
63,Lichtenberg,52.514556884785996,13.498307228022098,Bullet Shop,52.51180927967621,13.498141708115385,Smoke Shop
64,Lichtenberg,52.514556884785996,13.498307228022098,Freiaplatz,52.51580436440169,13.49850037381606,Park
65,Lichtenberg,52.514556884785996,13.498307228022098,Stasi-Museum,52.514409059167576,13.487429022789001,History Museum
66,Lichtenberg,52.514556884785996,13.498307228022098,Don Giovanni,52.51442235115981,13.493322684221212,Italian Restaurant
67,Lichtenberg,52.514556884785996,13.498307228022098,Big Bowl,52.5206512900636,13.497169553665536,Bowling Alley
68,Lichtenberg,52.514556884785996,13.498307228022098,AVCI,52.506062406124414,13.495985057538887,Doner Restaurant
69,Lichtenberg,52.514556884785996,13.498307228022098,Hotel Siegfriedshof,52.515035957642965,13.497475616723198,Hotel
70,Lichtenberg,52.514556884785996,13.498307228022098,AVCI Bistro,52.50884259706542,13.497380018234253,Falafel Restaurant
71,Lichtenberg,52.514556884785996,13.498307228022098,EDEKA,52.50932707481885,13.497750714593456,Supermarket
72,Lichtenberg,52.514556884785996,13.498307228022098,Ormado Kaffeehaus,52.5103,13.501088,Coffee Shop
73,Lichtenberg,52.514556884785996,13.498307228022098,McFIT,52.52182555984336,13.498887419700623,Gym / Fitness Center
74,Lichtenberg,52.514556884785996,13.498307228022098,Rossmann,52.50942376214189,13.497594594955444,Drugstore
75,Lichtenberg,52.514556884785996,13.498307228022098,U-Back,52.51237102604717,13.489361904521312,Bakery
76,Lichtenberg,52.514556884785996,13.498307228022098,Pizzeria “Ledi”,52.50850387020215,13.497361592632318,Pizza Place
77,Lichtenberg,52.514556884785996,13.498307228022098,HOWOGE-Arena „Hans Zoschke“,52.516717056888126,13.486640453338623,Soccer Stadium
78,Lichtenberg,52.514556884785996,13.498307228022098,Kîez Bäckereî,52.50659871700232,13.503078466591223,Bakery
79,Lichtenberg,52.514556884785996,13.498307228022098,"Centies - 1,30€-Imbiss",52.51070997431704,13.499844080628792,German Restaurant
80,Lichtenberg,52.514556884785996,13.498307228022098,Lidl,52.5094817,13.5067321,Supermarket
81,Lichtenberg,52.514556884785996,13.498307228022098,OBI,52.51030039267615,13.492010235786438,Hardware Store
82,Lichtenberg,52.514556884785996,13.498307228022098,Café Backfee,52.508102371109466,13.497157602459549,Bakery
83,Lichtenberg,52.514556884785996,13.498307228022098,Lidl,52.51117441796975,13.492068383357037,Supermarket
84,Lichtenberg,52.514556884785996,13.498307228022098,Wiener Feinbäckerei Heberer,52.51125805694935,13.497845745765305,Bakery
85,Lichtenberg,52.514556884785996,13.498307228022098,Q 216,52.51108595620549,13.493660031715864,Salad Place
86,Lichtenberg,52.514556884785996,13.498307228022098,Eis Kaffee Im Weitlingkiez (Barletta-Eis),52.507944069391726,13.49742744711661,Coffee Shop
87,Lichtenberg,52.514556884785996,13.498307228022098,Lichtenberg-Apotheke,52.5091815727855,13.497516790208156,Pharmacy
88,Lichtenberg,52.514556884785996,13.498307228022098,Der Bäcker Feihl,52.510465,13.492023,Bakery
89,Lichtenberg,52.514556884785996,13.498307228022098,Salsa,52.50797734103584,13.496820404496713,Mexican Restaurant
90,Lichtenberg,52.514556884785996,13.498307228022098,Netto Marken-Discount,52.51032195,13.4920333,Supermarket
91,Lichtenberg,52.514556884785996,13.498307228022098,H Einbecker Str. / Rosenfelder Str.,52.509691487288165,13.503388166427612,Bus Stop
92,Lichtenberg,52.514556884785996,13.498307228022098,Berliner Sparkasse (Geldautomat),52.50877199833594,13.4993200361156,ATM
93,Lichtenberg,52.514556884785996,13.498307228022098,Zamenhofpark,52.50951589437173,13.50369707646365,Park
94,Lichtenberg,52.514556884785996,13.498307228022098,totsicher,52.50800494815689,13.497108561033412,Bookstore
95,Lichtenberg,52.514556884785996,13.498307228022098,Lichtenberg vorm Einfahrsignal,52.50825500488281,13.49429988861084,Train Station
96,Lichtenberg,52.514556884785996,13.498307228022098,Gedenkstätte der Sozialisten,52.51488894986447,13.510737419128418,Memorial Site
97,Lichtenberg,52.514556884785996,13.498307228022098,H Siegfriedstraße / Josef-Orlopp-Straße,52.52299733075757,13.499579429626465,Tram Station
98,Lichtenberg,52.514556884785996,13.498307228022098,EUROMASTER,52.52308930004569,13.499604070275666,Automotive Shop
99,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Wolkenhain,52.53483665462395,13.580952286720276,Scenic Lookout
100,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Kienberg,52.534801061272546,13.581079312134221,Mountain
101,Marzahn-Hellersdorf,52.533000946086,13.583000183122198,Natur-Bobbahn Berlin,52.534791634534805,13.581494092941284,Theme Park Ride / Attraction
